[  10 / 132 ] flow_distance =    86.508121048243495 | volume_distance =     3.216301237942881 | sum_distance =    89.724422286186382 | exercise(cycle,model) = exerc_1 | exerc_5
[  10 / 132 ] flow_distance =    84.634208275236503 | volume_distance =    12.740685721571639 | sum_distance =    97.374893996808140 | exercise(cycle,model) = exerc_1 | exerc_1

[  11 / 132 ] flow_distance =    82.371627073822879 | volume_distance =    14.330979714446144 | sum_distance =    96.702606788269023 | exercise(cycle,model) = exerc_1 | exerc_4
[  11 / 132 ] flow_distance =    21.358293191252454 | volume_distance =    12.794513162985782 | sum_distance =    34.152806354238237 | exercise(cycle,model) = exerc_1 | exerc_6
[  11 / 132 ] flow_distance =   184.383315326469045 | volume_distance =    26.368511516223581 | sum_distance =   210.751826842692623 | exercise(cycle,model) = exerc_1 | exerc_3
[  11 / 132 ] flow_distance =    78.670526531593381 | volume_distance =    29.078062612049390 | sum_distance =   107.748589143642775 | exercise(cycle,model) = exerc_1 | exerc_7
[  11 / 132 ] flow_distance =    73.411153736815649 | volume_distance =    28.780028120614315 | sum_distance =   102.191181857429967 | exercise(cycle,model) = exerc_1 | exerc_2
[  11 / 132 ] flow_distance =   110.563089416667353 | volume_distance =    14.106639820004292 | sum_distance =   124.669729236671643 | exercise(cycle,model) = exerc_1 | exerc_5
[  11 / 132 ] flow_distance =    94.307281622271759 | volume_distance =    30.104969574641736 | sum_distance =   124.412251196913502 | exercise(cycle,model) = exerc_1 | exerc_1

[  12 / 132 ] flow_distance =    99.713029739836514 | volume_distance =   202.271422320885989 | sum_distance =   301.984452060722504 | exercise(cycle,model) = exerc_1 | exerc_4
[  12 / 132 ] flow_distance =    54.788781399033688 | volume_distance =   327.930542257177422 | sum_distance =   382.719323656211088 | exercise(cycle,model) = exerc_1 | exerc_6
[  12 / 132 ] flow_distance =   214.945406870337138 | volume_distance =   328.603251779182244 | sum_distance =   543.548658649519439 | exercise(cycle,model) = exerc_1 | exerc_3
[  12 / 132 ] flow_distance =   118.906476674834138 | volume_distance =   386.019506367724375 | sum_distance =   504.925983042558528 | exercise(cycle,model) = exerc_1 | exerc_7
[  12 / 132 ] flow_distance =   103.212735576946372 | volume_distance =   194.559547808468182 | sum_distance =   297.772283385414539 | exercise(cycle,model) = exerc_1 | exerc_2
[  12 / 132 ] flow_distance =    77.501585270910056 | volume_distance =   137.585258906400782 | sum_distance =   215.086844177310837 | exercise(cycle,model) = exerc_1 | exerc_5
[  12 / 132 ] flow_distance =   113.642940644364444 | volume_distance =   450.649939059793724 | sum_distance =   564.292879704158167 | exercise(cycle,model) = exerc_1 | exerc_1

[  13 / 132 ] flow_distance =    48.254047647147296 | volume_distance =    14.544332558153981 | sum_distance =    62.798380205301278 | exercise(cycle,model) = exerc_1 | exerc_4
[  13 / 132 ] flow_distance =    43.364186153673714 | volume_distance =    14.727151058122548 | sum_distance =    58.091337211796258 | exercise(cycle,model) = exerc_1 | exerc_6
[  13 / 132 ] flow_distance =   137.436469850015158 | volume_distance =    11.171842681910833 | sum_distance =   148.608312531926003 | exercise(cycle,model) = exerc_1 | exerc_3
[  13 / 132 ] flow_distance =    24.891329539508806 | volume_distance =    22.817345550052604 | sum_distance =    47.708675089561410 | exercise(cycle,model) = exerc_1 | exerc_7
[  13 / 132 ] flow_distance =    61.952534509965922 | volume_distance =     2.120860132752106 | sum_distance =    64.073394642718029 | exercise(cycle,model) = exerc_1 | exerc_2
[  13 / 132 ] flow_distance =    35.519915792547152 | volume_distance =    18.388941069182533 | sum_distance =    53.908856861729689 | exercise(cycle,model) = exerc_1 | exerc_5
[  13 / 132 ] flow_distance =     0.000000000000000 | volume_distance =     0.000000000000000 | sum_distance =     0.000000000000000 | exercise(cycle,model) = exerc_1 | exerc_1

[  14 / 132 ] flow_distance =    54.229104123612899 | volume_distance =     2.719836571099357 | sum_distance =    56.948940694712256 | exercise(cycle,model) = exerc_1 | exerc_4
[  14 / 132 ] flow_distance =    55.699878224253645 | volume_distance =     2.308929495864336 | sum_distance =    58.008807720117979 | exercise(cycle,model) = exerc_1 | exerc_6
[  14 / 132 ] flow_distance =   163.412307991782995 | volume_distance =    10.171640089498615 | sum_distance =   173.583948081281619 | exercise(cycle,model) = exerc_1 | exerc_3
[  14 / 132 ] flow_distance =    43.224262154802823 | volume_distance =     1.356438967514866 | sum_distance =    44.580701122317691 | exercise(cycle,model) = exerc_1 | exerc_7
[  14 / 132 ] flow_distance =    33.600931206414415 | volume_distance =    34.204224522176297 | sum_distance =    67.805155728590705 | exercise(cycle,model) = exerc_1 | exerc_2
[  14 / 132 ] flow_distance =    33.256754107554578 | volume_distance =     2.920852737487168 | sum_distance =    36.177606845041744 | exercise(cycle,model) = exerc_1 | exerc_5
[  14 / 132 ] flow_distance =    46.912698912447595 | volume_distance =    28.399608969824229 | sum_distance =    75.312307882271824 | exercise(cycle,model) = exerc_1 | exerc_1

[  15 / 132 ] flow_distance =    81.752034961019618 | volume_distance =     7.571266586954916 | sum_distance =    89.323301547974538 | exercise(cycle,model) = exerc_1 | exerc_4
[  15 / 132 ] flow_distance =   188.091456247294502 | volume_distance =     9.596386381067083 | sum_distance =   197.687842628361580 | exercise(cycle,model) = exerc_1 | exerc_6
[  15 / 132 ] flow_distance =   152.783081357978347 | volume_distance =     4.738495695615208 | sum_distance =   157.521577053593546 | exercise(cycle,model) = exerc_1 | exerc_3
[  15 / 132 ] flow_distance =    51.946172684948188 | volume_distance =    12.141254897241589 | sum_distance =    64.087427582189775 | exercise(cycle,model) = exerc_1 | exerc_7
[  15 / 132 ] flow_distance =    27.181512032783722 | volume_distance =    17.515764618228800 | sum_distance =    44.697276651012523 | exercise(cycle,model) = exerc_1 | exerc_2
[  15 / 132 ] flow_distance =    52.256282121684073 | volume_distance =    10.009419872737624 | sum_distance =    62.265701994421697 | exercise(cycle,model) = exerc_1 | exerc_5
