
[   9 / 132 ] flow_distance =    74.275894652242798 | volume_distance =     1.871965936375101 | sum_distance =    76.147860588617903 | exercise(cycle,model) = exerc_1 | exerc_4
[   9 / 132 ] flow_distance =    22.737572614807505 | volume_distance =    12.144958138391761 | sum_distance =    34.882530753199262 | exercise(cycle,model) = exerc_1 | exerc_6
[   9 / 132 ] flow_distance =   127.657236193982442 | volume_distance =     6.116774867455158 | sum_distance =   133.774011061437591 | exercise(cycle,model) = exerc_1 | exerc_3
[   9 / 132 ] flow_distance =    55.448252728785640 | volume_distance =     1.625177265384138 | sum_distance =    57.073429994169778 | exercise(cycle,model) = exerc_1 | exerc_7
[   9 / 132 ] flow_distance =    68.206995277092403 | volume_distance =     3.795922156993637 | sum_distance =    72.002917434086044 | exercise(cycle,model) = exerc_1 | exerc_2
[   9 / 132 ] flow_distance =    64.331171391281629 | volume_distance =     2.239171848318661 | sum_distance =    66.570343239600291 | exercise(cycle,model) = exerc_1 | exerc_5
[   9 / 132 ] flow_distance =    65.037986948304649 | volume_distance =    11.719245530045189 | sum_distance =    76.757232478349835 | exercise(cycle,model) = exerc_1 | exerc_1

[  10 / 132 ] flow_distance =    67.671554358789024 | volume_distance =     2.695254859580340 | sum_distance =    70.366809218369369 | exercise(cycle,model) = exerc_1 | exerc_4
[  10 / 132 ] flow_distance =    27.574768610841303 | volume_distance =     6.540979659175401 | sum_distance =    34.115748270016702 | exercise(cycle,model) = exerc_1 | exerc_6
[  10 / 132 ] flow_distance =    85.048698613241939 | volume_distance =     8.349655513035419 | sum_distance =    93.398354126277354 | exercise(cycle,model) = exerc_1 | exerc_3
[  10 / 132 ] flow_distance =    47.586113641514658 | volume_distance =     5.192885436548852 | sum_distance =    52.778999078063507 | exercise(cycle,model) = exerc_1 | exerc_7
[  10 / 132 ] flow_distance =    75.205106308125707 | volume_distance =     5.075896395731432 | sum_distance =    80.281002703857141 | exercise(cycle,model) = exerc_1 | exerc_2
[  10 / 132 ] flow_distance =    81.392712789087909 | volume_distance =     3.150971631748646 | sum_distance =    84.543684420836556 | exercise(cycle,model) = exerc_1 | exerc_5
[  10 / 132 ] flow_distance =    85.488010366311755 | volume_distance =    12.742009017093837 | sum_distance =    98.230019383405590 | exercise(cycle,model) = exerc_1 | exerc_1

[  11 / 132 ] flow_distance =    96.163780743763255 | volume_distance =    14.093456898120708 | sum_distance =   110.257237641883961 | exercise(cycle,model) = exerc_1 | exerc_4
[  11 / 132 ] flow_distance =    20.160141755549855 | volume_distance =     2.402575402586741 | sum_distance =    22.562717158136596 | exercise(cycle,model) = exerc_1 | exerc_6
[  11 / 132 ] flow_distance =   154.736414198342771 | volume_distance =    25.850495350091528 | sum_distance =   180.586909548434306 | exercise(cycle,model) = exerc_1 | exerc_3
[  11 / 132 ] flow_distance =    50.204494483618397 | volume_distance =    28.553201723130798 | sum_distance =    78.757696206749188 | exercise(cycle,model) = exerc_1 | exerc_7
[  11 / 132 ] flow_distance =    89.387164647024179 | volume_distance =    20.817944105914318 | sum_distance =   110.205108752938500 | exercise(cycle,model) = exerc_1 | exerc_2
[  11 / 132 ] flow_distance =    90.674939959901138 | volume_distance =    13.439967699545919 | sum_distance =   104.114907659447056 | exercise(cycle,model) = exerc_1 | exerc_5
[  11 / 132 ] flow_distance =    66.231182941681283 | volume_distance =    29.936231826316785 | sum_distance =    96.167414767998068 | exercise(cycle,model) = exerc_1 | exerc_1

[  12 / 132 ] flow_distance =   129.779525660394739 | volume_distance =   231.483301369176957 | sum_distance =   361.262827029571667 | exercise(cycle,model) = exerc_1 | exerc_4
[  12 / 132 ] flow_distance =    58.830928945127425 | volume_distance =   210.567646631575286 | sum_distance =   269.398575576702683 | exercise(cycle,model) = exerc_1 | exerc_6
[  12 / 132 ] flow_distance =   212.793524001056340 | volume_distance =   328.633667709813494 | sum_distance =   541.427191710869806 | exercise(cycle,model) = exerc_1 | exerc_3
[  12 / 132 ] flow_distance =   119.376501985806044 | volume_distance =   386.035748355086639 | sum_distance =   505.412250340892683 | exercise(cycle,model) = exerc_1 | exerc_7
[  12 / 132 ] flow_distance =   101.039127157069089 | volume_distance =   173.476780426373296 | sum_distance =   274.515907583442413 | exercise(cycle,model) = exerc_1 | exerc_2
[  12 / 132 ] flow_distance =    75.914204902158104 | volume_distance =   137.550869861799214 | sum_distance =   213.465074763957318 | exercise(cycle,model) = exerc_1 | exerc_5
[  12 / 132 ] flow_distance =   117.482295013527960 | volume_distance =   450.683633622298657 | sum_distance =   568.165928635826617 | exercise(cycle,model) = exerc_1 | exerc_1

[  13 / 132 ] flow_distance =    72.200806081194855 | volume_distance =    17.094735413542718 | sum_distance =    89.295541494737577 | exercise(cycle,model) = exerc_1 | exerc_4
[  13 / 132 ] flow_distance =    37.906267911883660 | volume_distance =    55.672802975147050 | sum_distance =    93.579070887030710 | exercise(cycle,model) = exerc_1 | exerc_6
[  13 / 132 ] flow_distance =   138.165732182961989 | volume_distance =    11.155720371245717 | sum_distance =   149.321452554207696 | exercise(cycle,model) = exerc_1 | exerc_3
[  13 / 132 ] flow_distance =    30.229614337692041 | volume_distance =    22.771308111991694 | sum_distance =    53.000922449683735 | exercise(cycle,model) = exerc_1 | exerc_7
[  13 / 132 ] flow_distance =    46.731874730094610 | volume_distance =     9.226056095167479 | sum_distance =    55.957930825262089 | exercise(cycle,model) = exerc_1 | exerc_2
[  13 / 132 ] flow_distance =    39.362916932940543 | volume_distance =    18.365047544321985 | sum_distance =    57.727964477262532 | exercise(cycle,model) = exerc_1 | exerc_5
[  13 / 132 ] flow_distance =     0.000000000000000 | volume_distance =     0.000000000000000 | sum_distance =     0.000000000000000 | exercise(cycle,model) = exerc_1 | exerc_1

[  14 / 132 ] flow_distance =    87.844756933548567 | volume_distance =     1.872115000946767 | sum_distance =    89.716871934495330 | exercise(cycle,model) = exerc_1 | exerc_4
[  14 / 132 ] flow_distance =    54.977430340855264 | volume_distance =    18.443360795824329 | sum_distance =    73.420791136679597 | exercise(cycle,model) = exerc_1 | exerc_6
[  14 / 132 ] flow_distance =   171.884596852177253 | volume_distance =    10.136860007739875 | sum_distance =   182.021456859917123 | exercise(cycle,model) = exerc_1 | exerc_3
[  14 / 132 ] flow_distance =    53.057542537575166 | volume_distance =     1.358339923310500 | sum_distance =    54.415882460885669 | exercise(cycle,model) = exerc_1 | exerc_7
[  14 / 132 ] flow_distance =    39.025385972884472 | volume_distance =     6.779881360854749 | sum_distance =    45.805267333739224 | exercise(cycle,model) = exerc_1 | exerc_2
[  14 / 132 ] flow_distance =    50.817064018289450 | volume_distance =     2.926136474352264 | sum_distance =    53.743200492641712 | exercise(cycle,model) = exerc_1 | exerc_5
[  14 / 132 ] flow_distance =    56.184721348481595 | volume_distance =    28.318004271049372 | sum_distance =    84.502725619530963 | exercise(cycle,model) = exerc_1 | exerc_1

[  15 / 132 ] flow_distance =   134.929352246460866 | volume_distance =    10.103152959098963 | sum_distance =   145.032505205559829 | exercise(cycle,model) = exerc_1 | exerc_4
[  15 / 132 ] flow_distance =   168.613797719606453 | volume_distance =    35.113209497313008 | sum_distance =   203.727007216919446 | exercise(cycle,model) = exerc_1 | exerc_6
[  15 / 132 ] flow_distance =   155.745514761866815 | volume_distance =     4.757318072420855 | sum_distance =   160.502832834287659 | exercise(cycle,model) = exerc_1 | exerc_3
[  15 / 132 ] flow_distance =    53.689459504223287 | volume_distance =    12.137430645610655 | sum_distance =    65.826890149833943 | exercise(cycle,model) = exerc_1 | exerc_7
[  15 / 132 ] flow_distance =    31.256951759601197 | volume_distance =     4.160176547107427 | sum_distance =    35.417128306708626 | exercise(cycle,model) = exerc_1 | exerc_2
