[   9 / 132 ] flow_distance =   160.778853976948483 | volume_distance =     2.914057492238382 | sum_distance =   163.692911469186868 | exercise(cycle,model) = exerc_1 | exerc_7
[   9 / 132 ] flow_distance =   101.473000835943679 | volume_distance =     1.424208304795843 | sum_distance =   102.897209140739520 | exercise(cycle,model) = exerc_1 | exerc_2
[   9 / 132 ] flow_distance =   199.953495315164929 | volume_distance =     1.632798074870295 | sum_distance =   201.586293390035223 | exercise(cycle,model) = exerc_1 | exerc_5
[   9 / 132 ] flow_distance =   262.381454514382710 | volume_distance =     1.409219469541991 | sum_distance =   263.790673983924705 | exercise(cycle,model) = exerc_1 | exerc_1

[  10 / 132 ] flow_distance =   135.343108717578048 | volume_distance =     2.695254859580340 | sum_distance =   138.038363577158378 | exercise(cycle,model) = exerc_1 | exerc_4
[  10 / 132 ] flow_distance =    72.309834348331123 | volume_distance =     3.218745501183540 | sum_distance =    75.528579849514657 | exercise(cycle,model) = exerc_1 | exerc_6
[  10 / 132 ] flow_distance =   141.030660395359291 | volume_distance =     4.919990271808270 | sum_distance =   145.950650667167565 | exercise(cycle,model) = exerc_1 | exerc_3
[  10 / 132 ] flow_distance =   159.087032824090244 | volume_distance =     6.857233363617752 | sum_distance =   165.944266187707996 | exercise(cycle,model) = exerc_1 | exerc_7
[  10 / 132 ] flow_distance =   113.946999865952250 | volume_distance =     0.891160180270742 | sum_distance =   114.838160046222995 | exercise(cycle,model) = exerc_1 | exerc_2
[  10 / 132 ] flow_distance =   274.893351847552083 | volume_distance =     4.436057263324925 | sum_distance =   279.329409110877009 | exercise(cycle,model) = exerc_1 | exerc_5
[  10 / 132 ] flow_distance =   274.549035734633719 | volume_distance =     2.663080891281635 | sum_distance =   277.212116625915371 | exercise(cycle,model) = exerc_1 | exerc_1

[  11 / 132 ] flow_distance =   192.327561487526566 | volume_distance =    14.093456898120708 | sum_distance =   206.421018385647272 | exercise(cycle,model) = exerc_1 | exerc_4
[  11 / 132 ] flow_distance =    92.003254718354995 | volume_distance =    16.613349478279048 | sum_distance =   108.616604196634043 | exercise(cycle,model) = exerc_1 | exerc_6
[  11 / 132 ] flow_distance =   263.533876545583553 | volume_distance =    21.721187610139427 | sum_distance =   285.255064155723005 | exercise(cycle,model) = exerc_1 | exerc_3
[  11 / 132 ] flow_distance =   174.351735127336212 | volume_distance =    44.699625122847735 | sum_distance =   219.051360250183961 | exercise(cycle,model) = exerc_1 | exerc_7
[  11 / 132 ] flow_distance =   111.999197628557653 | volume_distance =     6.385055048841237 | sum_distance =   118.384252677398891 | exercise(cycle,model) = exerc_1 | exerc_2
[  11 / 132 ] flow_distance =   218.633018096677517 | volume_distance =    24.094198458953294 | sum_distance =   242.727216555630804 | exercise(cycle,model) = exerc_1 | exerc_5
[  11 / 132 ] flow_distance =   221.301620862219551 | volume_distance =     9.334178940273173 | sum_distance =   230.635799802492727 | exercise(cycle,model) = exerc_1 | exerc_1

[  12 / 132 ] flow_distance =   259.559051320789479 | volume_distance =   231.483301369176957 | sum_distance =   491.042352689966435 | exercise(cycle,model) = exerc_1 | exerc_4
[  12 / 132 ] flow_distance =   164.100362293933244 | volume_distance =   372.612606385094750 | sum_distance =   536.712968679027995 | exercise(cycle,model) = exerc_1 | exerc_6
[  12 / 132 ] flow_distance =   358.475684135323888 | volume_distance =   276.538768751822488 | sum_distance =   635.014452887146376 | exercise(cycle,model) = exerc_1 | exerc_3
[  12 / 132 ] flow_distance =   348.079368584719759 | volume_distance =   500.966937722219598 | sum_distance =   849.046306306939414 | exercise(cycle,model) = exerc_1 | exerc_7
[  12 / 132 ] flow_distance =   139.103279176112352 | volume_distance =    89.586817167754560 | sum_distance =   228.690096343866912 | exercise(cycle,model) = exerc_1 | exerc_2
[  12 / 132 ] flow_distance =   210.394749750715960 | volume_distance =   280.779976174659168 | sum_distance =   491.174725925375128 | exercise(cycle,model) = exerc_1 | exerc_5
[  12 / 132 ] flow_distance =   186.234313303693568 | volume_distance =   207.364419060651215 | sum_distance =   393.598732364344755 | exercise(cycle,model) = exerc_1 | exerc_1

[  13 / 132 ] flow_distance =   144.401612162389711 | volume_distance =    17.094735413542718 | sum_distance =   161.496347575932418 | exercise(cycle,model) = exerc_1 | exerc_4
[  13 / 132 ] flow_distance =    67.426177690502044 | volume_distance =     9.496731473662132 | sum_distance =    76.922909164164182 | exercise(cycle,model) = exerc_1 | exerc_6
